Model,MSE,MAE,R2
LR,372.790810101985,14.350400252921819,0.9100001283625156
XGBoost,12004.501880808959,99.31592719375742,-1.8981498445446583
MLP,21010.20601959553,130.29043024142598,-4.072324192550231
