Model,MSE,MAE,R2
LR (RFE),268.37433862623993,11.435859302092009,0.9983618942261734
XGBoost (RFE),337.9100703173958,12.991558492539246,0.9979374613830274
MLP (RFE),495.73261018320363,16.553349060751774,0.9969741427024206
