Model,RMSE,MAPE,DA
XGBoost,0.0102477276236628,3.1007753897437182,0.5083532219570406
LSTM,0.0099491597253274,2.3398758664265187,0.5158924205378973
Hybrid,0.01225209378919204,5.77036671752576,0.5061124694376528
