Model,MSE,MAE,R2
LR,372.7908101006821,14.350400253028715,0.9100001283628303
XGBoost,11325.098521560338,96.4683290876222,-1.734126983826274
MLP,7287.061981661923,73.01681943889714,-0.7592564655350469
RF,6445.221393128888,70.68768758573403,-0.5560176976950615
