Model,MSE,MAE,R2
LR,268.58700541496626,11.476903787423455,0.9983605961486586
XGBoost,316.98650749602314,12.73538382014588,0.9980651748195734
MLP,616.2462625869159,18.760449519696397,0.9962385503546648
RF,326.8482165172082,12.827796292890987,0.9980049808287094
