DATE,WLEMUINDXD
2008-10-16,158.38
2008-10-17,236.39
2008-10-18,331.95
2008-10-19,139.06
2008-10-20,230.8
2008-10-21,197.4
2008-10-22,154.31
2008-10-23,125.66
2008-10-24,156.97
2008-10-25,491.11
2008-10-26,134.06
2008-10-27,275.38
2008-10-28,161.95
2008-10-29,93.15
2008-10-30,61.32
2008-10-31,132.24
2008-11-01,295.51
2008-11-02,189.68
2008-11-03,278.65
2008-11-04,328.58
2008-11-05,99.14
2008-11-06,109.53
2008-11-07,52.76
2008-11-08,117.26
2008-11-09,106.55
2008-11-10,136.6
2008-11-11,114.3
2008-11-12,130.98
2008-11-13,65.44
2008-11-14,56.71
2008-11-15,144.65
2008-11-16,126.51
2008-11-17,116.36
2008-11-18,255.6
2008-11-19,241.07
2008-11-20,130.31
2008-11-21,177.11
2008-11-22,335.72
2008-11-23,247.9
2008-11-24,429.15
2008-11-25,242.12
2008-11-26,243.6
2008-11-27,138.57
2008-11-28,119.51
2008-11-29,552.23
2008-11-30,257.2
2008-12-01,154.88
2008-12-02,269.96
2008-12-03,96.56
2008-12-04,78.93
2008-12-05,124.83
2008-12-06,206.12
2008-12-07,67.49
2008-12-08,83.65
2008-12-09,78.04
2008-12-10,132.04
2008-12-11,134.74
2008-12-12,19.87
2008-12-13,96.78
2008-12-14,66.11
2008-12-15,113.14
2008-12-16,152.21
2008-12-17,62.26
2008-12-18,30.51
2008-12-19,88.16
2008-12-20,123.29
2008-12-21,159.04
2008-12-22,132.32
2008-12-23,136.1
2008-12-24,113.5
2008-12-25,231.24
2008-12-26,187.92
2008-12-27,528.16
2008-12-28,55.44
2008-12-29,132.21
2008-12-30,237.74
2008-12-31,202.28
2009-01-01,199.53
2009-01-02,75.54
2009-01-03,324.25
2009-01-04,823.76
2009-01-05,52.52
2009-01-06,72.85
2009-01-07,74.41
2009-01-08,48.86
2009-01-09,6.93
2009-01-10,136.67
2009-01-11,103.99
2009-01-12,111.28
2009-01-13,77.77
2009-01-14,72.74
2009-01-15,70.13
2009-01-16,88.69
2009-01-17,144.63
2009-01-18,50.2
2009-01-19,42.7
2009-01-20,113.75
2009-01-21,146.2
2009-01-22,100.58
2009-01-23,67.76
2009-01-24,105.86
2009-01-25,59.52
2009-01-26,145.73
2009-01-27,22.64
2009-01-28,48.79
2009-01-29,33.51
2009-01-30,34.28
2009-01-31,86.09
2009-02-01,24.6
2009-02-02,93.42
2009-02-03,117.26
2009-02-04,60.43
2009-02-05,48.86
2009-02-06,72.59
2009-02-07,104.39
2009-02-08,33.71
2009-02-09,59.94
2009-02-10,141.03
2009-02-11,76.45
2009-02-12,85.95
2009-02-13,102.49
2009-02-14,246.43
2009-02-15,60.83
2009-02-16,52.52
2009-02-17,142.74
2009-02-18,36.43
2009-02-19,33.47
2009-02-20,102.0
2009-02-21,170.06
2009-02-22,56.27
2009-02-23,166.27
2009-02-24,281.65
2009-02-25,97.71
2009-02-26,107.51
2009-02-27,46.51
2009-02-28,169.84
2009-03-01,121.91
2009-03-02,108.53
2009-03-03,93.35
2009-03-04,30.54
2009-03-05,53.08
2009-03-06,121.15
2009-03-07,391.62
2009-03-08,219.76
2009-03-09,277.66
2009-03-10,53.12
2009-03-11,91.36
2009-03-12,190.9
2009-03-13,74.8
2009-03-14,205.12
2009-03-15,85.57
2009-03-16,58.83
2009-03-17,15.22
2009-03-18,61.4
2009-03-19,121.58
2009-03-20,56.69
2009-03-21,104.1
2009-03-22,61.86
2009-03-23,111.21
2009-03-24,68.51
2009-03-25,114.91
2009-03-26,130.42
2009-03-27,34.32
2009-03-28,166.63
2009-03-29,35.2
2009-03-30,147.02
2009-03-31,110.24
2009-04-01,104.91
2009-04-02,58.5
2009-04-03,30.45
2009-04-04,131.4
2009-04-05,26.17
2009-04-06,19.99
2009-04-07,46.79
2009-04-08,24.33
2009-04-09,16.1
2009-04-10,28.09
2009-04-11,74.98
2009-04-12,98.9
2009-04-13,170.87
2009-04-14,53.65
2009-04-15,89.9
2009-04-16,21.74
2009-04-17,40.6
2009-04-18,80.53
2009-04-19,26.07
2009-04-20,49.86
2009-04-21,45.36
2009-04-22,59.98
2009-04-23,109.96
2009-04-24,31.19
2009-04-25,48.66
2009-04-26,37.57
2009-04-27,77.25
2009-04-28,107.11
2009-04-29,89.91
2009-04-30,42.72
2009-05-01,45.43
2009-05-02,50.03
2009-05-03,44.44
2009-05-04,20.13
2009-05-05,52.24
2009-05-06,17.93
2009-05-07,26.69
2009-05-08,26.48
2009-05-09,30.32
2009-05-10,17.29
2009-05-11,30.82
2009-05-12,22.91
2009-05-13,29.91
2009-05-14,16.37
2009-05-15,13.61
2009-05-16,60.27
2009-05-17,8.85
2009-05-18,10.14
2009-05-19,7.62
2009-05-20,48.0
2009-05-21,21.91
2009-05-22,21.27
2009-05-23,115.88
2009-05-24,9.09
2009-05-25,132.22
2009-05-26,27.05
2009-05-27,20.94
2009-05-28,34.29
2009-05-29,7.01
2009-05-30,20.41
2009-05-31,26.48
2009-06-01,31.41
2009-06-02,23.78
2009-06-03,44.07
2009-06-04,17.06
2009-06-05,35.18
2009-06-06,74.35
2009-06-07,8.97
2009-06-08,10.54
2009-06-09,8.11
2009-06-10,21.51
2009-06-11,17.29
2009-06-12,14.12
2009-06-13,21.69
2009-06-14,36.23
2009-06-15,21.36
2009-06-16,17.02
2009-06-17,25.92
2009-06-18,39.51
2009-06-19,7.25
2009-06-20,90.49
2009-06-21,18.51
2009-06-22,122.02
2009-06-23,16.51
2009-06-24,13.21
2009-06-25,17.95
2009-06-26,131.86
2009-06-27,33.49
2009-06-28,18.7
2009-06-29,34.08
2009-06-30,66.72
2009-07-01,6.63
2009-07-02,6.05
2009-07-03,9.04
2009-07-04,166.13
2009-07-05,50.76
2009-07-06,11.38
2009-07-07,85.81
2009-07-08,27.83
2009-07-09,88.64
2009-07-10,14.95
2009-07-11,56.8
2009-07-12,39.23
2009-07-13,20.53
2009-07-14,16.71
2009-07-15,27.42
2009-07-16,12.08
2009-07-17,14.92
2009-07-18,33.75
2009-07-19,37.84
2009-07-20,32.25
2009-07-21,54.65
2009-07-22,6.65
2009-07-23,11.86
2009-07-24,7.41
2009-07-25,43.91
2009-07-26,9.13
2009-07-27,21.21
2009-07-28,71.05
2009-07-29,119.69
2009-07-30,29.21
2009-07-31,29.94
2009-08-01,89.11
