Date,Close,High,Low,Open,Volume,Price,Yield_10Y,EMUI,BCI,CEI,EPUI,PMI,Sentiment_Score,Log_Return,EMA,MACD_Line,MACD_Signal,MACD_Diff,RSI,Stoch_K,Stoch_D,Williams_R,Log_Return_lag1,EMA_lag1,MACD_Line_lag1,MACD_Signal_lag1,MACD_Diff_lag1,RSI_lag1,Stoch_K_lag1,Stoch_D_lag1,Williams_R_lag1,Yield_10Y_lag1,EMUI_lag1,BCI_lag1,CEI_lag1,EPUI_lag1,PMI_lag1,Sentiment_Score_lag1,Target_Return,Adj_Close
2020-02-21,3337.75,3360.760009765625,3328.449951171875,3360.5,3908780000.0,3337.75,1.46,82.92,98.18549,71.8,268.61639,84.5619,0.0,-0.010573809232819777,3336.7720927957557,24.15835014155573,23.163929948030493,0.9944201935252366,52.4745675576964,64.67123933838029,83.06827364800773,-35.32876066161972,-0.0038228174279975285,3336.669155195309,27.529768774696095,22.915324899649182,4.614443875046913,61.268855067976574,88.65464711977273,91.94954152852853,-11.345352880227267,1.52,77.78,98.18549,71.8,268.61639,84.5619,0.0,-0.010573809232819777,3337.75
2020-02-24,3225.889892578125,3259.81005859375,3214.64990234375,3257.610107421875,4851160000.0,3225.889892578125,1.38,93.18,98.18549,71.8,268.61639,84.5619,0.0,-0.03408807942044074,3326.211883251219,12.318303040438423,20.99480456651208,-8.676501526073658,35.280671926644956,6.283883753814908,53.20325673732264,-93.7161162461851,-0.010573809232819777,3336.7720927957557,24.15835014155573,23.163929948030493,0.9944201935252366,52.4745675576964,64.67123933838029,83.06827364800773,-35.32876066161972,1.46,82.92,98.18549,71.8,268.61639,84.5619,0.0,-0.03408807942044074,3225.889892578125
2020-02-25,3128.2099609375,3246.989990234375,3118.77001953125,3238.93994140625,5596760000.0,3128.2099609375,1.33,388.12,98.18549,71.8,268.61639,84.5619,0.0,-0.030747904375353224,3307.3545573165793,-4.890597959295519,15.817724061350562,-20.70832202064608,26.970219067513128,3.4358294472247497,24.796984179806643,-96.56417055277525,-0.03408807942044074,3326.211883251219,12.318303040438423,20.99480456651208,-8.676501526073658,35.280671926644956,6.283883753814908,53.20325673732264,-93.7161162461851,1.38,93.18,98.18549,71.8,268.61639,84.5619,0.0,-0.030747904375353224,3128.2099609375
2020-02-26,3116.389892578125,3182.510009765625,3108.989990234375,3139.89990234375,5484650000.0,3116.389892578125,1.33,109.69,98.18549,71.8,268.61639,84.5619,0.0,-0.00378569732353003,3289.167446389107,-19.260533278817547,8.80207259331694,-28.062605872134487,26.166987274076007,2.6007456443302286,4.106819615123291,-97.39925435566977,-0.030747904375353224,3307.3545573165793,-4.890597959295519,15.817724061350562,-20.70832202064608,26.970219067513128,3.4358294472247497,24.796984179806643,-96.56417055277525,1.33,388.12,98.18549,71.8,268.61639,84.5619,0.0,-0.00378569732353003,3116.389892578125
2020-02-27,2978.760009765625,3097.070068359375,2977.389892578125,3062.5400390625,7064710000.0,2978.760009765625,1.3,212.21,98.18549,71.8,268.61639,84.5619,0.0,-0.045168136352261155,3259.604833377347,-41.27855834577849,-1.2140535945021478,-40.064504751276345,19.051996460597124,0.3292521013875876,2.1219423976475174,-99.67074789861242,-0.00378569732353003,3289.167446389107,-19.260533278817547,8.80207259331694,-28.062605872134487,26.166987274076007,2.6007456443302286,4.106819615123291,-97.39925435566977,1.33,109.69,98.18549,71.8,268.61639,84.5619,0.0,-0.045168136352261155,2978.760009765625
2020-02-28,2954.219970703125,2959.719970703125,2855.840087890625,2916.89990234375,8569570000.0,2954.219970703125,1.13,360.14,98.18549,71.8,268.61639,84.5619,0.0,-0.008272463109653077,3230.5205607417065,-60.01634681808946,-12.97451223921961,-47.04183457886985,18.10661913872117,18.297108934736148,7.075702226817984,-81.70289106526386,-0.045168136352261155,3259.604833377347,-41.27855834577849,-1.2140535945021478,-40.064504751276345,19.051996460597124,0.3292521013875876,2.1219423976475174,-99.67074789861242,1.3,212.21,98.18549,71.8,268.61639,84.5619,0.0,-0.008272463109653077,2954.219970703125
2020-03-02,3090.22998046875,3090.9599609375,2945.18994140625,2974.280029296875,6381330000.0,3090.22998046875,1.1,201.53,98.18549,71.8,268.61639,84.5619,0.0,0.0450108687694132,3217.159553096663,-63.163202000925594,-23.01225019156081,-40.150951809364784,36.819081127076295,43.59282889040142,20.739729975508382,-56.40717110959858,-0.008272463109653077,3230.5205607417065,-60.01634681808946,-12.97451223921961,-47.04183457886985,18.10661913872117,18.297108934736148,7.075702226817984,-81.70289106526386,1.13,360.14,98.18549,71.8,268.61639,84.5619,0.0,0.0450108687694132,3090.22998046875
2020-03-03,3003.3701171875,3136.719970703125,2976.6298828125,3096.4599609375,6376510000.0,3003.3701171875,1.02,325.54,98.18549,71.8,268.61639,84.5619,0.0,-0.02851048492291458,3196.798654438647,-71.83787020363616,-32.77737419397588,-39.06049600966028,31.81875564104695,27.438262173318616,29.776066666152058,-72.56173782668138,0.0450108687694132,3217.159553096663,-63.163202000925594,-23.01225019156081,-40.150951809364784,36.819081127076295,43.59282889040142,20.739729975508382,-56.40717110959858,1.1,201.53,98.18549,71.8,268.61639,84.5619,0.0,-0.02851048492291458,3003.3701171875
2020-03-04,3130.1201171875,3130.969970703125,3034.3798828125,3045.75,5073020000.0,3130.1201171875,1.02,323.56,98.18549,71.8,268.61639,84.5619,0.0,0.041336349360633136,3190.448317557585,-67.70448637152958,-39.76279662948662,-27.94168974204296,43.81076498662153,51.011766137516645,40.680952400412224,-48.988233862483355,-0.02851048492291458,3196.798654438647,-71.83787020363616,-32.77737419397588,-39.06049600966028,31.81875564104695,27.438262173318616,29.776066666152058,-72.56173782668138,1.02,325.54,98.18549,71.8,268.61639,84.5619,0.0,0.041336349360633136,3130.1201171875
2020-03-05,3023.93994140625,3083.0400390625,2999.830078125,3075.699951171875,5579290000.0,3023.93994140625,0.92,197.17,98.18549,71.8,268.61639,84.5619,0.0,-0.034510782439981125,3174.590376971744,-72.16473258964879,-46.24318382151906,-25.921548768129732,37.81110593903078,31.26392554817905,36.571317953004765,-68.73607445182095,0.041336349360633136,3190.448317557585,-67.70448637152958,-39.76279662948662,-27.94168974204296,43.81076498662153,51.011766137516645,40.680952400412224,-48.988233862483355,1.02,323.56,98.18549,71.8,268.61639,84.5619,0.0,-0.034510782439981125,3023.93994140625
